year proc cat systematic AllOverOddSF
2016 wzh SL_2 MCScaleLowR9EBDown01sigma 1.8218002198276495
2016 wzh SL_2 MCSmearLowR9EBRhoDown01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearLowR9EBPhiDown01sigma 2.2553109262011692
2016 wzh SL_2 ShowerShapeLowR9EEDown01sigma 1.9337891771575608
2016 wzh SL_2 MCScaleLowR9EEDown01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearLowR9EERhoDown01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearLowR9EEPhiDown01sigma 2.007455197279308
2016 wzh SL_3 NOMINAL 2.0164673316893382
2016 wzh SL_3 MvaShiftUp01sigma 1.9748231530669345
2016 wzh SL_3 SigmaEOverEShiftUp01sigma 1.9905943596825135
2016 wzh SL_3 MaterialCentralBarrelUp01sigma 1.990005972543981
2016 wzh SL_3 MaterialOuterBarrelUp01sigma 2.0153689971198054
2016 wzh SL_3 MaterialForwardUp01sigma 1.9488216751726208
2016 wzh SL_3 FNUFEBUp01sigma 1.966470586094848
2016 wzh SL_3 FNUFEEUp01sigma 1.9488094096340531
2016 wzh SL_3 MCScaleGain6EBUp01sigma 1.9905943596825135
2016 wzh SL_3 MCScaleGain1EBUp01sigma 1.9905943596825135
2016 wzh SL_3 JECUp01sigma 1.994215859543486
2016 wzh SL_3 JERUp01sigma 1.992898226937703
2016 wzh SL_3 PUJIDShiftUp01sigma 1.990410106021147
2016 wzh SL_3 JECAbsoluteUp01sigma 1.989205356868152
2016 wzh SL_3 JECAbsolute2016Up01sigma 1.9911731229119303
2016 wzh SL_3 JECBBEC1Up01sigma 1.9908244147149792
2016 wzh SL_3 JECBBEC12016Up01sigma 1.9907303731117714
2016 wzh SL_3 JECEC2Up01sigma 1.9906082692378722
2016 wzh SL_3 JECEC22016Up01sigma 1.9905009298322247
2016 wzh SL_3 JECFlavorQCDUp01sigma 1.9920531109770876
2016 wzh SL_3 JECHFUp01sigma 1.9905943596825135
2016 wzh SL_3 JECHF2016Up01sigma 1.9905943596825135
2016 wzh SL_3 JECRelativeBalUp01sigma 1.9917184371816774
2016 wzh SL_3 JECRelativeSample2016Up01sigma 1.9916960179534067
2016 wzh SL_3 metJecUncertaintyUp01sigma 1.9905943596825135
2016 wzh SL_3 metJerUncertaintyUp01sigma 1.9905943596825135
2016 wzh SL_3 metPhoUncertaintyUp01sigma 1.9905943596825135
2016 wzh SL_3 metUncUncertaintyUp01sigma 2.0152627782253956
2016 wzh SL_3 ShowerShapeHighR9EBUp01sigma 2.0068208111999013
2016 wzh SL_3 MCScaleHighR9EBUp01sigma 1.9950547433529093
2016 wzh SL_3 MCSmearHighR9EBRhoUp01sigma 2.048334900787546
2016 wzh SL_3 MCSmearHighR9EBPhiUp01sigma 2.0331875176997283
2016 wzh SL_3 ShowerShapeHighR9EEUp01sigma 2.027725732097757
2016 wzh SL_3 MCScaleHighR9EEUp01sigma 1.9488094096340531
2016 wzh SL_3 MCSmearHighR9EERhoUp01sigma 1.9905854513487662
2016 wzh SL_3 MCSmearHighR9EEPhiUp01sigma 2.034236516665148
2016 wzh SL_3 ShowerShapeLowR9EBUp01sigma 2.0698392329789903
